Week,P10_Pax,P50_Pax,P90_Pax
2025-12-29,373920,397787,429610
2026-01-05,384761,409320,442066
2026-01-12,392766,417836,451263
2026-01-19,401938,427594,461801
2026-01-26,415972,442523,477925
2026-02-02,414037,440464,475702
2026-02-09,505383,537642,580653
2026-02-16,452995,481909,520462
2026-02-23,499577,531465,573982
2026-03-02,552352,587608,634617
2026-03-09,714524,760132,820943
2026-03-16,611389,650414,702447
2026-03-23,651669,693265,748726
2026-03-30,666524,709068,765794
2026-04-06,779831,829608,895976
2026-04-13,742694,790100,853308
2026-04-20,709331,754608,814976
2026-04-27,764087,812859,877888
2026-05-04,743297,790742,854001
2026-05-11,778548,828243,894502
2026-05-18,776910,826500,892620
2026-05-25,836237,889614,960783
2026-06-01,862060,917085,990452
2026-06-08,916617,975124,1053134
2026-06-15,943776,1004017,1084338
2026-06-22,982888,1045626,1129276
2026-06-29,991590,1054884,1139274
2026-07-06,1013327,1078007,1164248
2026-07-13,1043761,1110384,1199215
2026-07-20,1021998,1087232,1174210
2026-07-27,1018340,1083341,1170008
2026-08-03,985207,1048093,1131940
2026-08-10,1024951,1090374,1177604
2026-08-17,1004495,1068612,1154101
2026-08-24,963654,1025164,1107177
2026-08-31,840018,893636,965127
2026-09-07,803536,854826,923212
2026-09-14,771698,820955,886631
2026-09-21,751092,799035,862957
2026-09-28,665978,708487,765166
2026-10-05,633294,673718,727615
2026-10-12,703187,748072,807917
2026-10-19,672241,715150,772362
2026-10-26,489758,521019,562700
2026-11-02,454548,483562,522247
2026-11-09,458281,487533,526535
2026-11-16,472269,502414,542607
2026-11-23,499751,531650,574182
2026-11-30,525642,559193,603929
2026-12-07,713003,758514,819195
2026-12-14,708742,753981,814300
2026-12-21,496607,528305,570569
